51054: Accelerometer { acceleration: Vector3 { x: 0.21547815, y: 0.18495208, z: 9.5492735 }, raw_data: Vector3 { x: 120, y: 103, z: 5318 } }
579019: Accelerometer { acceleration: Vector3 { x: 0.2136825, y: 0.16879122, z: 9.561843 }, raw_data: Vector3 { x: 119, y: 94, z: 5325 } }
579091: Gyroscope { angular_velocity: Vector3 { x: -0.0053264843, y: -0.0010652968, z: 0.0010652968 }, raw_data: Vector3 { x: -5, y: -1, z: 1 } }
589073: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: -0.0021305936, z: 0.0010652968 }, raw_data: Vector3 { x: -4, y: -2, z: 1 } }
599082: Accelerometer { acceleration: Vector3 { x: 0.2208651, y: 0.16879122, z: 9.5492735 }, raw_data: Vector3 { x: 123, y: 94, z: 5318 } }
599144: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: -0.0021305936, z: 0.0010652968 }, raw_data: Vector3 { x: -4, y: -2, z: 1 } }
647716: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0021305936 }, raw_data: Vector3 { x: -3, y: -1, z: 2 } }
647795: Barometer { pressure: 100842.0, temperature: 19.55, raw_data: 100842 }
647803: Accelerometer { acceleration: Vector3 { x: 0.21906945, y: 0.15622166, z: 9.534908 }, raw_data: Vector3 { x: 122, y: 87, z: 5310 } }
647807: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -4, y: -1, z: 0 } }
657035: Accelerometer { acceleration: Vector3 { x: 0.19752164, y: 0.15622166, z: 9.540296 }, raw_data: Vector3 { x: 110, y: 87, z: 5313 } }
657102: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -4, y: -1, z: 0 } }
667045: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -3, y: -1, z: 0 } }
677074: Accelerometer { acceleration: Vector3 { x: 0.2208651, y: 0.17058687, z: 9.534908 }, raw_data: Vector3 { x: 123, y: 95, z: 5310 } }
677138: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -2, y: -1, z: 0 } }
687049: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -2, y: 0, z: 0 } }
697058: Accelerometer { acceleration: Vector3 { x: 0.21906945, y: 0.16519992, z: 9.5492735 }, raw_data: Vector3 { x: 122, y: 92, z: 5318 } }
697117: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -2, y: 0, z: 0 } }
707160: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -2, y: 0, z: 0 } }
717010: Accelerometer { acceleration: Vector3 { x: 0.21547815, y: 0.15442601, z: 9.561843 }, raw_data: Vector3 { x: 120, y: 86, z: 5325 } }
717071: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -3, y: -1, z: 0 } }
727004: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: -0.0021305936, z: 0.0 }, raw_data: Vector3 { x: -4, y: -2, z: 0 } }
737089: Accelerometer { acceleration: Vector3 { x: 0.2136825, y: 0.15622166, z: 9.534908 }, raw_data: Vector3 { x: 119, y: 87, z: 5310 } }
737173: Gyroscope { angular_velocity: Vector3 { x: -0.0053264843, y: -0.0021305936, z: 0.0 }, raw_data: Vector3 { x: -5, y: -2, z: 0 } }
750877: Gyroscope { angular_velocity: Vector3 { x: -0.0053264843, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -5, y: -1, z: 0 } }
750926: Accelerometer { acceleration: Vector3 { x: 0.2100912, y: 0.16160862, z: 9.533113 }, raw_data: Vector3 { x: 117, y: 90, z: 5309 } }
798465: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -4, y: 0, z: 0 } }
798533: Barometer { pressure: 100839.0, temperature: 19.56, raw_data: 100839 }
798540: Accelerometer { acceleration: Vector3 { x: 0.22445641, y: 0.15442601, z: 9.5385 }, raw_data: Vector3 { x: 125, y: 86, z: 5312 } }
798543: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0010652968 }, raw_data: Vector3 { x: -3, y: -1, z: 1 } }
809831: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: -0.0021305936, z: 0.0010652968 }, raw_data: Vector3 { x: -2, y: -2, z: 1 } }
809883: Accelerometer { acceleration: Vector3 { x: 0.21188685, y: 0.15622166, z: 9.5385 }, raw_data: Vector3 { x: 118, y: 87, z: 5312 } }
819003: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: -0.0021305936, z: 0.0010652968 }, raw_data: Vector3 { x: -2, y: -2, z: 1 } }
829252: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: -0.0021305936, z: 0.0 }, raw_data: Vector3 { x: -2, y: -2, z: 0 } }
829328: Accelerometer { acceleration: Vector3 { x: 0.2172738, y: 0.16160862, z: 9.5385 }, raw_data: Vector3 { x: 121, y: 90, z: 5312 } }
839033: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -3, y: -1, z: 0 } }
849219: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0, z: 0.0010652968 }, raw_data: Vector3 { x: -3, y: 0, z: 1 } }
849279: Accelerometer { acceleration: Vector3 { x: 0.22984336, y: 0.15801731, z: 9.534908 }, raw_data: Vector3 { x: 128, y: 88, z: 5310 } }
859100: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0, z: 0.0010652968 }, raw_data: Vector3 { x: -3, y: 0, z: 1 } }
869290: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0, z: 0.0021305936 }, raw_data: Vector3 { x: -3, y: 0, z: 2 } }
869357: Accelerometer { acceleration: Vector3 { x: 0.22266077, y: 0.17597382, z: 9.52593 }, raw_data: Vector3 { x: 124, y: 98, z: 5305 } }
879033: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0, z: 0.0021305936 }, raw_data: Vector3 { x: -3, y: 0, z: 2 } }
889268: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0, z: 0.0021305936 }, raw_data: Vector3 { x: -3, y: 0, z: 2 } }
889352: Accelerometer { acceleration: Vector3 { x: 0.21906945, y: 0.17238252, z: 9.527725 }, raw_data: Vector3 { x: 122, y: 96, z: 5306 } }
899043: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0010652968 }, raw_data: Vector3 { x: -3, y: -1, z: 1 } }
950325: Barometer { pressure: 100843.0, temperature: 19.56, raw_data: 100843 }
950399: Accelerometer { acceleration: Vector3 { x: 0.22804771, y: 0.15801731, z: 9.536704 }, raw_data: Vector3 { x: 127, y: 88, z: 5311 } }
950473: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: 0.0, z: 0.0010652968 }, raw_data: Vector3 { x: -4, y: 0, z: 1 } }
950560: Accelerometer { acceleration: Vector3 { x: 0.2172738, y: 0.15981296, z: 9.540296 }, raw_data: Vector3 { x: 121, y: 89, z: 5313 } }
950663: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: -0.0010652968, z: 0.0010652968 }, raw_data: Vector3 { x: -4, y: -1, z: 1 } }
960052: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: 0.0, z: 0.0010652968 }, raw_data: Vector3 { x: -4, y: 0, z: 1 } }
970089: Accelerometer { acceleration: Vector3 { x: 0.22625206, y: 0.15981296, z: 9.545682 }, raw_data: Vector3 { x: 126, y: 89, z: 5316 } }
970236: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0, z: 0.0010652968 }, raw_data: Vector3 { x: -3, y: 0, z: 1 } }
980058: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -3, y: 1, z: 0 } }
989979: Accelerometer { acceleration: Vector3 { x: 0.22445641, y: 0.16699557, z: 9.540296 }, raw_data: Vector3 { x: 125, y: 93, z: 5313 } }
990038: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0010652968, z: 0.0010652968 }, raw_data: Vector3 { x: -2, y: 1, z: 1 } }
1000036: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0010652968, z: 0.0010652968 }, raw_data: Vector3 { x: -2, y: 1, z: 1 } }
1010032: Accelerometer { acceleration: Vector3 { x: 0.21906945, y: 0.16879122, z: 9.529521 }, raw_data: Vector3 { x: 122, y: 94, z: 5307 } }
1010102: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0, z: 0.0010652968 }, raw_data: Vector3 { x: -2, y: 0, z: 1 } }
1020063: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -2, y: 0, z: 0 } }
1030077: Accelerometer { acceleration: Vector3 { x: 0.2208651, y: 0.17238252, z: 9.531317 }, raw_data: Vector3 { x: 123, y: 96, z: 5308 } }
1030182: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -3, y: -1, z: 0 } }
1040109: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -3, y: -1, z: 0 } }
1050065: Accelerometer { acceleration: Vector3 { x: 0.22804771, y: 0.16340427, z: 9.5385 }, raw_data: Vector3 { x: 127, y: 91, z: 5312 } }
1050142: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0021305936, z: 0.0010652968 }, raw_data: Vector3 { x: -3, y: -2, z: 1 } }
1098392: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: -0.0021305936, z: 0.0021305936 }, raw_data: Vector3 { x: -4, y: -2, z: 2 } }
1098461: Barometer { pressure: 100843.0, temperature: 19.56, raw_data: 100843 }
1098469: Accelerometer { acceleration: Vector3 { x: 0.2172738, y: 0.17238252, z: 9.54209 }, raw_data: Vector3 { x: 121, y: 96, z: 5314 } }
1098472: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0010652968, z: 0.0010652968 }, raw_data: Vector3 { x: -2, y: 1, z: 1 } }
1107631: Accelerometer { acceleration: Vector3 { x: 0.23163901, y: 0.16340427, z: 9.54209 }, raw_data: Vector3 { x: 129, y: 91, z: 5314 } }
1107713: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0, z: 0.0010652968 }, raw_data: Vector3 { x: -2, y: 0, z: 1 } }
1117040: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -2, y: 0, z: 0 } }
1127027: Accelerometer { acceleration: Vector3 { x: 0.20649989, y: 0.16340427, z: 9.534908 }, raw_data: Vector3 { x: 115, y: 91, z: 5310 } }
1127102: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -2, y: 0, z: 0 } }
1137086: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -3, y: -1, z: 0 } }
1147026: Accelerometer { acceleration: Vector3 { x: 0.2208651, y: 0.15981296, z: 9.547478 }, raw_data: Vector3 { x: 123, y: 89, z: 5317 } }
1147099: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: -0.0010652968 }, raw_data: Vector3 { x: -3, y: -1, z: -1 } }
1157080: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -3, y: -1, z: 0 } }
1166999: Accelerometer { acceleration: Vector3 { x: 0.2172738, y: 0.16519992, z: 9.543886 }, raw_data: Vector3 { x: 121, y: 92, z: 5315 } }
1167072: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -3, y: -1, z: 0 } }
1177050: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: -0.0010652968, z: 0.0010652968 }, raw_data: Vector3 { x: -4, y: -1, z: 1 } }
1187066: Accelerometer { acceleration: Vector3 { x: 0.20649989, y: 0.17597382, z: 9.5385 }, raw_data: Vector3 { x: 115, y: 98, z: 5312 } }
1187151: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: -0.0021305936, z: 0.0010652968 }, raw_data: Vector3 { x: -4, y: -2, z: 1 } }
1197059: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: -0.0031958905, z: 0.0010652968 }, raw_data: Vector3 { x: -4, y: -3, z: 1 } }
1207075: Accelerometer { acceleration: Vector3 { x: 0.22266077, y: 0.16160862, z: 9.543886 }, raw_data: Vector3 { x: 124, y: 90, z: 5315 } }
1207149: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0031958905, z: 0.0010652968 }, raw_data: Vector3 { x: -3, y: -3, z: 1 } }
1244904: Barometer { pressure: 100836.0, temperature: 19.55, raw_data: 100836 }
1251708: Accelerometer { acceleration: Vector3 { x: 0.23343466, y: 0.16699557, z: 9.540296 }, raw_data: Vector3 { x: 130, y: 93, z: 5313 } }
1251776: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0021305936, z: 0.0021305936 }, raw_data: Vector3 { x: -3, y: -2, z: 2 } }
1261449: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0021305936 }, raw_data: Vector3 { x: -3, y: -1, z: 2 } }
1261528: Accelerometer { acceleration: Vector3 { x: 0.22445641, y: 0.17597382, z: 9.556456 }, raw_data: Vector3 { x: 125, y: 98, z: 5322 } }
1271086: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0021305936 }, raw_data: Vector3 { x: -3, y: -1, z: 2 } }
1280976: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0021305936 }, raw_data: Vector3 { x: -3, y: -1, z: 2 } }
1281040: Accelerometer { acceleration: Vector3 { x: 0.2172738, y: 0.16699557, z: 9.534908 }, raw_data: Vector3 { x: 121, y: 93, z: 5310 } }
1291009: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0021305936 }, raw_data: Vector3 { x: -3, y: -1, z: 2 } }
1301030: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0010652968 }, raw_data: Vector3 { x: -3, y: -1, z: 1 } }
1301101: Accelerometer { acceleration: Vector3 { x: 0.22266077, y: 0.15981296, z: 9.531317 }, raw_data: Vector3 { x: 124, y: 89, z: 5308 } }
1311004: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0010652968 }, raw_data: Vector3 { x: -3, y: -1, z: 1 } }
1320990: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0, z: 0.0010652968 }, raw_data: Vector3 { x: -3, y: 0, z: 1 } }
1321052: Accelerometer { acceleration: Vector3 { x: 0.2208651, y: 0.18315643, z: 9.543886 }, raw_data: Vector3 { x: 123, y: 102, z: 5315 } }
1331089: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0, z: 0.0010652968 }, raw_data: Vector3 { x: -2, y: 0, z: 1 } }
1341057: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -2, y: 1, z: 0 } }
1341130: Accelerometer { acceleration: Vector3 { x: 0.21547815, y: 0.17776948, z: 9.540296 }, raw_data: Vector3 { x: 120, y: 99, z: 5313 } }
1351021: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -2, y: 1, z: 0 } }
1361008: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -2, y: 0, z: 0 } }
1361101: Accelerometer { acceleration: Vector3 { x: 0.20470424, y: 0.18136078, z: 9.534908 }, raw_data: Vector3 { x: 114, y: 101, z: 5310 } }
